Q,A,label
내가 연락 끊은 짝남한테 다시 연락올 수 있는 법 좀.,먼저 연락해서 대화를 이어나가는 게 수월해요.,2
내가 오랫동안 좋아하던 사람이 날 몰라.,자신의 존재를 알리는 게 우선이겠네요.,2
내가 이 사람을 사랑하는 건가?,자꾸 생각난다면 그럴 거예요.,2
내가 좋대,저도 좋아합니다.,2
내가 좋아하는 거 알았는데도 나를 대하는게 변함이 없어.,친구로 지내고 싶은 거겠죠.,2
내가 좋아하는 거 티내면 싫어할까?,부담스러울 수도 있겠어요.,2
내가 좋아하는 걸 티냈는데 그 사람은 반응이 없어.,서로 마음이 같았으면 좋았을텐데 안타깝네요.,2
내가 좋아하는 걸 티냈는데 못 알아챘을까?,못 알아차렸을 수도 있어요.,2
내가 좋아하는 남자를 만나는게 나아? 나를 좋아하는 남자를 만나는게 나아?,그건 본인의 사랑 방식에 따라 다릅니다.,2
내가 좋아하는 사람보다 나를 좋아해주는 사람 만나는게 행복한거라더니.,아쉬운 부분이 있나봐요.,2
내가 좋아하는 사람이 나를 신경쓰게 하는 방법 조언 좀.,질투를 유발해 보는 방법도 있다고 합니다.,2
내가 좋아하는 사람이 나를 좋아하는지 모르겠어.,주변에 물어보는 건 어떨까요.,2
내가 좋아하는 사람이 나를 창피해하는 것 같아.,너무 슬픈 말이에요.,2
내가 좋아하는 사람이 날 좋아해주는건 정말 기적인 듯.,행복한 일이지요.,2
내가 좋아하는 사람이 날 좋아했으면 좋겠어.,그것만큼 좋은 일도 없죠.,2
내가 좋아하는 사람이 누구를 좋아하는지 궁금해.,주변 사람들에게 물어보면 알 수 있지 않을까요?,2
내가 좋아하는 사람이 누군지 점점 헷갈려.,결정적인 감정의 변화가 없었나봐요.,2
내가 좋아하는 사람이 다른 사람을 좋아하는데 자괴감이 들어.,자괴감이 들 필요는 없어요.,2
내가 좋아하는 사람이 다른 사람을 짝사랑 해. 도와줘야 할까.,도와주다가 마음이 더 다칠 거예요.,2
내가 좋아하는 사람이 유명해지면 기분이 어떨까.,좋으면서도 서운하지 않을까요.,2
내가 좋아하는 사람이랑 나이 차이가 많이 나는데 괜찮을까?,나이 차이는 중요하지 않아요.,2
내가 좋아하는 애가 날 좋아하는 것 같으면 갑자기 정 떨어지고 뭔가 싫어짐,어떤 심리일까요.,2
내가 좋아하는 애가 유학간대.,정말 섭섭한 기분이겠네요.,2
내가 좋아하는 애를 내 친구가 계속 욕하는게 맘에 안들어.,특별한 이유가 없다면 서운함을 전해보세요.,2
내가 좋아하는 애를 내 친구가 좋아하는게 맘에 안 들어.,딱 질투네요.,2
내가 좋아하는 여자애를 따라 좋아하는 애가 있음.,먼저 좋아하고 있었을지도 몰라요.,2
내가 좋아하는걸 그사람이 알았으면 좋겠어.,마음을 조금씩 전해보세요.,2
내가 좋아하는지 그 애가 아예 몰라.,조금은 티를 내봐야죠.,2
내가 좋아할 자격이 있나 모르겠어.,그냥 좋아하면 돼요.,2
내가 좋아할 자격이 있나 모르겠어.,좋아하는데 자격은 없어요.,2
내가 좋아해도 될까?,누구나 좋아할 권리가 있어요.,2
내가 좋아해도 될까?,좋아하는데 자격은 없어요.,2
내가 진짜 둔한데 나를 좋아하는지 모르겠어.,직접적으로 물어보는게 좋겠어요.,2
내가 집착하는 걸까?,집착일 수도 있겠어요.,2
내가 첫 연애래,더 잘해주세요.,2
내가 첫사랑이래,그 사람에게 잘해주세요.,2
내가 최대한 잘해줘도 불만이 많아,서로 원하는 기대치가 다른 것 같아요.,2
내가 친절하니까 쉬워보이나?,그런 사람 만나지 마세요.,2
내가 해본 연애 중에 짝사랑인데 이뤄진 연애는 없는 듯.,이제 그런 경우를 만들어봐요.,2
내가 해주는 것도 없는데 나한테 너무 잘해줘,무엇을 해줘서 잘하는게 아니라 곁에 존재해주었다는 이유만으로 삶이 풍부해진 것 같아요.,2
내일 개강총회인데 짝녀한테 어떻게 잘 보이지.,옆에서 잘 챙겨주면 좋을 것 같아요.,2
내일 결혼식이야,떨리겠어요.,2
내일 더 사랑해,달콤한 말이네요.,2
내일 만나자고 해볼까?,멋지게 데이트 신청 해보세요.,2
내일 뭐 입고 나갈까,날씨에 맞게 입는 게 좋을 것 같아요.,2
내일 짝남이랑 영화보러간당.,좋은 시간 보내고 와요.,2
내일 짝녀랑 영화보러갑니다.,많이 떨리겠어요.,2
낼 짝남한테 잘 보이고 싶어.,실수하지 않는다면 잘 할 거예요.,2
낼 짝녀한테 잘 보이고 싶어.,실수하지 않는다면 잘할거라 생각해요.,2
너 생각이 났어.,어머나,2
너도 썸 타?,저도 썸을 탑니다.,2
너라서 행복해,달콤한 말이예요.,2
너를 사랑한 시간,그 시간들이 중요하죠.,2
너무 사랑하는데 동거해도될까?,책임질 수 있다면 하고 싶은 대로 하세요.,2
너무 설레서 울렁거려.,부러워요. 자연스러운 현상이에요.,2
너무 예민한 여자친구,너그럽게 봐달라고 말해보세요.,2
너무 잘해주면 질려하나?,좋은 사람이라면 고마워할 거예요.,2
너무 잘해줬더니 당연한줄 아네,호의를 권리로 아는 사람 만나지 마세요.,2
너무 좋아서 절제가 안돼.,자연스러운 현상이에요.,2
너무 좋아하면 남자친구가 부담스러워 할까?,너무 좋아해주면 사랑스러워 보일 거 같아요.,2
너무 쿨한 남자친구가 고민이야.,쿨방망이로 때려주세요.,2
너무 행복해. 오래갈 수 있을까?,노력하면 가능할 거예요.,2
너무 행복해. 오래갈 수 있을까?,오래갈 수 있을 거예요.,2
너와 내가 인연이었으면 좋겠어,인연은 만들어 가는거예요.,2
넘치는 사랑 받고 있어,당신은 사랑 받을 만한 사람이에요.,2
노는 거 좋아하는 남자는 좋아하면 힘들겠지?,지금은 괜찮지만 힘들 거예요.,2
노는 거 좋아하는 사람은 좋아하면 힘들거야.,지금은 괜찮더라도 힘들 거예요.,2
노는 것 좋아하는 여자 이쁜데 좀 그래.,자신의 가치관에 상대를 속박하지 말아요.,2
놀러다니기 좋아하는 남자 착하긴한데 나랑은 안맞다고 생각이 들어.,안맞는다면 정리하는 편이 좋을 거예요.,2
놓치고 싶지 않는 사람,운명인가봐요.,2
누가 날 좋아하는 걸 알면 어떤 생각이 들어?,처음엔 당황스러울 거예요.,2
누가 더 사랑할까?,누가 더 사랑하는지는 중요하지 않아요.,2
누가 봐도 썸 타는 사이인데 연락이 없어.,먼저 연락하는 것도 좋을 거 같아요.,2
누구에게나 친절한 남자 위험해?,어떻게 하느냐에 달려있겠죠.,2
누군가를 좋아하는게 과연 행복한 걸까.,행복하지만은 않겠지요.,2
누군가를 좋아하는게 두려워.,좋아하는 감정을 느낀다는 자체가 참 행복한 거예요.,2
누군가를 좋아하는게 이렇게 힘들줄 알았다면 시작도 안했을거야.,후회하고 번복하게 되는게 참 이상하죠.,2
누군가를 좋아한다는건 정말 힘들일이야.,좋아하는 감정은 정말 복잡하고 힘들어요.,2
누군가를 좋아해본 적이 없는데 문제가 있는걸까?,그것은 전혀 문제되지 않아요.,2
누군가를 짝사랑하게 되는게 두려워.,이제 짝사랑 말고 둘이서 하는 사랑하세요.,2
눈 뜨면 생각나는 사람,깊은 사랑에 빠지셨군요.,2
눈에서 멀어져도 좋아하는 건 어떡하죠?,생각에서 멀어지지 않았나봐요.,2
눈을 감아도 보고 싶어,상사병 걸리기전에 찾아가보세요.,2
눈이 자꾸 마주쳐,자꾸 시선을 마주쳐보세요.,2
다 맞춰주고 싶은 사람,정말 사랑하고 있나봐요.,2
다 잊었는데 다시 그녀가 나타났어,마음이 혼란스럽겠어요.,2
다 잘맞는데 가치관이 다른 연애가 고민.,가치관이 중요한 거 같아요.,2
다니던 회사를 그만두고 1년간 여행을 가자고 해.,큰 용기가 필요하겠네요.,2
다들 우리 잘 어울린대,잘 어울리는 한 쌍이에요.,2
다른 사람은 잘만 하는 연애,서툰 연애도 연애에요.,2
다시 만나서 사랑할 수 있을까?,진정으로 사랑한다면 다시 시작해보세요.,2
다시 사랑이 오겠지?,충분히 좋은 사람 만날 수 있을 거예요.,2
다시 썸 타는 방법,천천히 다시 다가가보세요.,2
다시 웃게 해준 사람,그 사람이 당신의 홈닥터군요.,2
다시 태어나도 만나고 싶은 사람,말로만 들어도 좋겠네요.,2
다썸이 뭐야?,여러 사람이랑 썸 타는 거요.,2
다정한 사람 만나고싶어,그런 사람 만나길 바랄게요.,2
단 하루도 널 사랑하지 않은 날이 없었어,멋진 말이네요.,2
단둘이 놀자,봄 꽃 구경 가는걸 추천합니다.,2
단톡방에서 내 톡에만 답장해. 썸 각?,호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.,2
답프로포즈 해볼까?,정말 좋아할 거예요.,2
대부분 무덤덤한 남자친구가 고민임.,감정에 솔직해질 수 있게 조금씩 변화시켜봐요.,2
대출 엄청 끼고 집 사,갚을 능력이 되는지 생각해보세요.,2
대출껴서 집사는게 맞나?,갚을 능력이 되는지 생각해보세요.,2
대학교 고학번 선배랑 썸 타도 되나?,학번이 대수인가요.,2
대학교에서 첫사랑 다시 만났어.,운명적인 만남이네요.,2
대화가 안 통해,서로 더 이해해보세요.,2
대화가 잘 통하는 사람이야,그런 사람 놓치지 마세요.,2
댄디한 남자 사귀고파,그런 사람 만나길 바랄게요.,2
더 사랑하고 싶다,감정에 솔직한 모습이 보기 좋아요.,2
더 사랑해달라고 말해볼까,귀여울 거 같아요.,2
더 사랑해달래,더 많이 표현해주세요.,2
더 사랑해줘,사랑해요!,2
더 알고 싶어 지는 사람이야,자세히 관찰해보세요.,2
덜 좋아하는게 답인 것 같아.,그러는 편이 덜 상처겠지요.,2
데이트 계획을 너무 나만 짜는거같아.,데이트 계획 짜오라고 해봐요.,2
데이트 비용은 보통 어떻게 내?,같이 내는 게 좋죠.,2
데이트 장소,영화관 공원 놀이동산 바다 산 축제 도서관 엄청 많죠.,2
데이트 장소가 항상 고민이야,안 가본 곳에 가보세요.,2
데이트 통장 만들까?,합리적인 소비를 할 수 있을 거예요.,2
데이트 할때 너무 많이 먹는 남자친구가 고민이야.,건강이 걱정된다고 대화를 나눠보세요.,2
데이트는 어디로 가?,맛집 투어도 좋아요.,2
데이트비용이 너무 많이 나와,같이 상의해보세요.,2
데이트중에 정적 있어도 괜찮을까?,정적이 있을 때 아무렇지도 않으면 편안해진 거예요.,2
데이트하고 보통 몇시쯤에 집에 들어가?,막차 타고 집에 오죠.,2
데이트하는데 무한리필만 가,다른 데이트를 제안해보세요.,2
데이트할 시간이 없네,마음이 없는 걸 수도 있어요.,2
도대체 사랑이 뭐니?,당신이 사랑이라고 생각하는 모든 것들이 사랑이라고 할 수 있어요.,2
도서관에서 항상 같은 자리에 앉는 여자가 계속 떠올라.,첫 눈에 반했나봐요.,2
돈이 없으면 연애를 하지않는게 맞는걸까.,돈 없어도 할 수 있는 데이트 코스도 많아요.,2
동거 하다 걸렸어,난처하시겠네요.,2
동거하는 거 부모님이 알게 되셨어,오해를 풀고 사랑을 이어가세요.,2
동거하는데 헤어져야할 거 같아,단점들을 많이 봤나봐요.,2
동거하다 사랑이 식으면 어떡해?,걱정하면 아무것도 못해요,2
동거하다가 헤어질까봐 걱정이야,걱정하면 아무것도 못해요,2
동거해도 될까?,안 보이던 장점과 단점이 모두 보이게 될 거예요.,2
동네 친구랑 썸 괜찮을까,자주 만나고 좋을거예요.,2
동물 좋아하는 사람 어때?,동물 좋아하는 사람치고 나쁜 사람 없어요.,2
동물 좋아하는 사람은 착한가?,따뜻할 거 같아요.,2
동물을 너무 좋아해,마음이 따뜻할 것 같아요.,2
동성애 어떻게 생각해,모든 사랑을 존중합니다.,2
동성을 사랑해,당신을 존중해요.,2
동성을 좋아하는게 비정상이 아닌걸 아는데 고백하는건 망설여져.,고백은 아무래도 더 큰 용기가 필요하니까요.,2
동성친구 좋아하는 사람 없어?,생각보다 많아요.,2
동아리에서 마음에 드는 남자 만났어!,동아리에 가기 즐거워지겠네요.,2
두 남자 사이에서 갈등 중,빠른 선택으로 모두에게 상처를 덜 주길 바랍니다.,2
두 사람한테 거의 동시에 고백받았어,빠른 선택으로 모두에게 상처를 덜 주길 바랍니다.,2
두 여자 사이에서 갈등하고 있어,빠른 선택으로 모두에게 상처를 덜 주길 바랍니다.,2
두근두근해,가슴 뛰는 사랑 오래오래 하세요!,2
두달 사겼어,좋은 만남 이어가길 바라요.,2
뒷담화 좋아하는 사람 어떻게 생각해요?,아마 조금 꺼려질 것 같아요.,2
드라마같은 사랑 하고 싶어,드라마는 현실과 달라요.,2
드레스 입어보는 거 재밌어!,여러벌 입어보고 마음에 드는걸로 선택하세요.,2
딩크족으로 살거야,남의 시선말고 자신만 생각하세요.,2
딱 1년 연애,달달할 시기네요.,2
딱 내 이상형이야,이상형을 만나는 경우는 흔치 않는데 대단하네요.,2
딱 내 취향인데,용기를 내보세요.,2
또 고백해볼까?,도전 정신 마음에 드네요.,2
또 사랑이 올 줄 몰랐어,사랑을 시작하게,2
띠동갑 짝사랑하는데 괜찮을까.,사랑에 나이가 없어요.,2
라면먹고갈래 말해볼까?,엄청난 용기가 필요하겠네요.,2
랜선 연애 어떻게 생각해?,얼굴을 안 보고 부딪히지도 않아서 제대로 된 연애가 가능하지 않을 수도 있지만 다 나쁜 건 아니에요.,2
랜선 연애로 잘 되기도 해?,랜선연애 하다가 직접 만나서 좋으면 잘 되는 거죠.,2
랜선 연애 중,현실 연애로 이어지길 바랍니다.,2
랩 추천 좀. 나 좋아하는 남자애한테 잘 보이고 싶어.,최신 인기 차트를 찾아보는 걸 추천해요.,2
로맨틱한 고백,생각만해도 달콤하네요.,2
로맨틱한 사랑 하고 싶다,달콤한 말과 몸짓으로 리드를 해보세요.,2
로맨틱한 사랑을 원해,달콤한 말과 몸짓으로 리드를 해보세요.,2
롱디인데 너무 보고 싶어.,떨어져 있는 만큼 더 그리울 거 같아요.,2
롱디인데 연락이 자주 안돼.,롱디는 연락이 잘 되어야 하는데요.,2
마음 맞는 사람이 있을까?,서로에게 맞춰갈 수 있을 거예요.,2
마음 표현하기가 힘들어,표현도 연습해야 해요.,2
마음에 드는 사람이 있는데,용기 있게 들이대보세요.,2
마음에 드는 여자가 있어요,자신감 있게 다가가 보세요.,2
마음에 든다는 걸 어떻게 알릴 수 있어?,자꾸 시선을 마주쳐보세요.,2
마음에 안 차는데 만나도 돼?,변화 가능성을 생각해보세요.,2
마음에 없는데 관계를 하고 싶대,이런 고민 하지 말고 자신을 더 소중히 여겨주세요.,2
마음에 없는데 관계를 하고 싶대,정리하고 좋은 사람 만나세요.,2
마음을 들켰나봐,그냥 다 말해보세요.,2
마음을 아무리 밀어내도 안돼,마음은 마음대로 되지 않아요.,2
마음을 확실하게 아는 방법,직접 물어보는 게 좋을 것 같습니다.,2
마음이 변할까봐 두려워,서로에게 믿음을 주세요.,2
마음이 식은 거 같아,나를 사랑하지 않는 사람하고 계속 가는 건 나 자신을 사랑하지 않는 사람들이나 하는 일이에요.,2
마음이 예쁜 사람 만나고 싶어,마음이 예쁜 사람을 찾는 게 더 힘들 거예요.,2
마음이 자꾸 쓰이네.,관심이 가나봐요.,2
마중 나가볼까?,고민하지 말고 실행에 옮기세요.,2
만나는 사람마다 유형이 비슷해,자신이 변하지 않았기 때문이겠죠.,2
만나는데 혈액형이 중요해?,전혀 중요하지 않아요.,2
만나도 불안하면 어떡해?,믿음이 아직 부족한가봐요.,2
만나자,말해보세요.,2
만나지 얼마 안됐는데 여행가재,아직 마음의 준비가 안 됐다고 말해보세요.,2
만난지 100일,알콩달콩 사랑할 때네요.,2
만난지 100일 됐는데 여행가재,아직 마음의 준비가 안 됐다고 말해보세요.,2
만난지 1년됐어,달달할 시기네요.,2
만난지 1년인데 결혼해도 될까?,사계절 만나봤으면 알만큼 알았잖아요.,2
만난지 200일됐어,알콩달콩 사랑할 때네요.,2
만난지 세달만에 결혼 가능함?,만난 시간이 중요하지 않아요.,2
만난지 얼마 안됐는데 결혼해도 될까?,오래 만나고 알면 좋겠지만 살면서 알아봐도 괜찮아요.,2
만난지 얼마 안됐는데 고백받았어,정말 좋아했나봐요.,2
만난지 얼마 안됐는데 고백했어,정말 내 사람이다 싶었나봐요.,2
만난지 얼마 안됐는데 키스함.,서로의 의사가 존중된 것이라면 괜찮지만 사귀고 난 후가 좋겠어요.,2
만난지 이틀만에 고백받았어,이른 고백이지만 고민해보세요.,2
많이 늦은시간인데 연락해봐도 괜찮을까?,최대한 예의를 갖춰서 연락해보세요.,2
많이 만났는데 아직도 왜 모르지?,상대방은 당신의 마음을 읽을 수 없어요.,2
많이 좋아하던 전남친이랑 다시 사겨도 될까?,좋아하면 다시 사겨야죠.,2
많이 좋아하던 전여친에게 연락해도될까?,연락은 자유지만 후회는 할 수도 있어요.,2
많이 좋아했는데 이젠 끝내야겠지.,추억으로 남기는 것도 좋은 선택일 거예요.,2
많이 좋아했었는데 이젠 정리하려고.,추억으로 남기는 것도 좋은 선택일 거예요.,2
말 없이 찾아가는건 예의가 아니겠지.,그건 좀 아닌 듯합니다.,2
말수 적은 남자인데 썸타도 괜찮을까?,은근 매력남일 거 같은데요.,2
말을 안하는 연애,대화가 중요한데요.,2
말이 안 예쁘게 나와,말 하기 전에 생각하고 말하는 습관을 길러보세요.,2
말하는 거 귀여워,하트 뿅뿅이네요.,2
말할 때 너무 떨려,잘 보이고 싶은 마음이 커서 그런 것 같아요.,2
맘 정리한 짝녀한테 연락하고 싶어요.,짝사랑하는 마음을 정리하는 건 쉽지 않죠.,2
맘 정리했는데 짝녀한테 연락오는데.,다시 흔들리겠어요.,2
맛있는 거 먹는데 생각나는 사람,그게 진짜 사랑이네요.,2
맞지 않더라도 대화로 잘맞아갈수 있을까?,서로 배려하면 가능하죠.,2
맞추려고 노력하는데 힘들어,나와 다를 수 있음을 인정하고 그 모습마저 사랑해주세요.,2
맞춤 정장 했어,오래오래 입으세요.,2
매년 좋아하는 애가 바뀌었는데 어떡하죠.,마음에 솔직한 거예요.,2
매일 아침 정류장에서 마주치는 남자애가 신경쓰여.,내일도 만난다면 말을 걸어보세요.,2
매일 아침 정류장에서 마주치는 여자애한테 눈이 가.,내일도 만난다면 말을 걸어보세요.,2
매일 아침 정류장에서 마주하는 그녀,아침에 두근거리겠어요.,2
매일 아침 정류장에서 보게되는 그,아침에 두근거리겠어요.,2
매일 카페에서 그의 뒷모습만 보게 돼.,이제 앞모습을 보세요.,2
매일 카페에서 보게 되는 그녀가 눈에 밟혀.,내일도 만난다면 데이트 신청해보세요.,2
매일매일 사랑해,표현하는 게 좋죠.,2
매주 수요일 그녀를 만날 수 있어.,삶의 활력소가 되겠네요.,2
매주 수요일 그를 만날 수 있어.,삶의 활력소가 되겠네요.,2
매주 월요일 그녀를 볼 수 있어.,기다리면서 행복하겠네요.,2
매주 월요일 그를 볼 수 있어.,일주일이 즐겁겠어요.,2
매주 화요일 그녀는 마주할 수 있어.,즐거운 날이 되겠네요.,2
매주 화요일 그를 볼 수 있어.,이날만 기다리겠어요.,2
맨날 썸만 타고 깨짐.,제대로 된 표현을 했는지 생각해보세요.,2
맨날 짝사랑만 하다가 끝났는데 연애할 수 있을까?,언젠가 진정한 사랑이 나타날 거예요.,2
머릿속에 너만 가득해,그 사람을 정말 좋아하나봐요.,2
먹는거에 너무 예민한 여자친구가 고민임.,먹는 거에 예민하면 애정 결핍이 많대요. 더 사랑해주세요.,2
먼저 고백하는 게 좋을까,고백하는 게 좋지만 슬쩍 호감을 표현해보세요.,2
먼저 연락 안 오면 끝인가,먼저 연락 안 오면 먼저 연락해보세요.,2
먼저 연락이 자주 오면 썸인가요,호감을 표현해보세요.,2
먼저 인사하려고 했는데 짝남이 먼저 인사해줬어.,더 떨렸겠어요.,2
먼저 인사할까 했는데 짝녀가 먼저 인사해줬어.,기분 좋았겠네요.,2
메리지블루인가봐,서로에게 의지해보세요.,2
명품선물 꼭 해야할까?,명품 마음이어도 충분해요.,2
몇 년 만에 썸 타는 거라 어떻게 연락을 해야할지 모르겠어,그럴 수 있어요. 안부인사나 관심사로 시작하는 건 어떨까요?,2
몇 년 후 만날 수 있을까?,우연히 만날 수 있겠죠.,2
몇 년을 좋아했는데도 관계가 달라진게 없어.,발전적인 관계가 아니라면 정리가 필요한 시기네요.,2
몇 달을 좋아했는데 달라진게 없어요.,발전적인 관계가 아니라면 정리가 필요한 시기네요.,2
몇일정도 썸타?,정해져 있지는 않지만 길지 않은게 서로에게 좋을 거예요.,2
모닝콜 해달라고 하는대 좋아하는 걸까?,확실하지 않지만 호감이 있을 수도 있겠네요.,2
모든 걸 다 주니까 떠난다는 그 남자,잘해준 게 독이 되었을 수도 있어요.,2
모르는 사람인데 첫 눈에 반했어.,외모나 분위기가 이상형이었나봐요.,2
모르는 사이에 좋아하는 티 내는 법 알려주세요.,사소한 걸 기억해서 말을 걸어보세요.,2
모르는 애랑 썸타는 꿈 꿨어,그 사람을 무의식 중에 생각했나봅니다.,2
모쏠 남자와의 썸,모쏠 여부가 큰 걸림돌이 되지 않을 거예요.,2
모쏠 여자와의 썸,모쏠도 사랑합니다.,2
모쏠인 사람 만나면 답답할까?,서툴러도 괜찮아요.,2
모임에서 썸 깨졌는데,같은 모임이라면 안 나가는 게 좋을 것 같네요.,2
모태솔로라 잘 모르겠어 도와줘,모르는 게 당연해요.,2
모태솔로인데 어떻게 시작해?,우선 부딪혀봅시다.,2
목적 있는 만남이라는 걸 알게 됐어,상처 받으셨겠어요.,2
몰두할 때는 연락 안 되는 사람 어때?,걱정하니 연락해달라고 부탁하거나 믿음이 있다면 기다려줄 것 같아요.,2
몰래 동거하고 있어,허락을 맡고 당당하게 하는 게 좋을 것 같아요.,2
못생긴 남자를 좋아하는 여자가 있을지.,외모가 중요한 시대는 끝났어요.,2
못생긴 여자를 좋아하는 남자가 있을까?,외모만 중요한 시대는 끝났습니다.,2
무슨 생각 하고 있을까?,직접 물어보는게 정확할 거예요.,2
무언가에 집중하는 남자가 좋아,매력적인 사람이지요.,2
무조건 나한테 다 맞춰주는 남자친구 변하면 어떡하지?,변하는 걸 걱정하면 아무것도 못해요.,2
뭐 보고 결혼 결심해?,세상 그 누구보다 잘해줘서요.,2
뭐라고 말하면서 고백할까,솔직한 마음을 전해보세요.,2
뭐하냐고 계속 물어보면 좋아하는 거야?,궁금하니까 그럴 가능성이 높겠죠.,2
뭘 챙겨주면 좋을까,직접 물어보는 게 좋을 것 같아요.,2
미래를 함께할 반려자인지 확신이 아직 없어,확신이 들때까지 기다려보세요.,2
미련 남은거랑 좋아하는 거랑 뭐가 다름?,구분 짓기 어려운 것 같아요.,2
미팅 할까 말까,만남은 다 좋죠.,2
미팅에서 번호 딴 애가 좋은데 뭐라고 연락을 할까?,잘 들어갔는지 가볍게 물어보면서 다음 약속을 잡아보세요.,2
밀당 어떻게 해?,바쁘면 자연스럽게 됩니다.,2
밀당은 어떻게 해?,자신이 바쁘면 자연스럽게 밀당이 됩니다.,2
바람기가 있는 남자친구 어떡해?,한 번이 어렵지 두 번은 쉽습니다.,2
바래다달라고 말해볼까?,귀엽게 부탁해보세요.,2
박력있는 남자가 좋아,당신을 이끌어주는 남자를 만날 수 있을 거예요.,2
반동거중인 여자친구가 나갔으면 좋겠어.,자신의 공간이 필요하다고 말해보세요.,2
발 맞춰 걷는 게 좋더라,당신은 군대가 체질에 맞는거 같아요.,2
발라드 추천 좀. 좋아하는 여자애한테 잘 보이고 싶음.,인기 차트를 찾아보는 걸 추천해요.,2
발렌타인데이에 고백할까요?,선물을 주면서 솔직하고 당당하게 고백해보세요.,2
밝은 사람 만나고 싶어,그런 사람 만나길 바랄게요.,2
밤새 그리워서 편지 썼어,받으면 참 좋을 것 같아요.,2
밤인데 전화해도 되나,양해를 구해보세요.,2
배려 없는 사람 어떡해?,안 만나는 게 마음이 편할 거예요.,2
배려 있는 사람이 좋은데,그런 사람 만나세요.,2
배려가 너무 없어,아닌 건 아니라고 말하세요.,2
배우자가 생긴다는 것,든든할 거예요.,2
배우자라고 하니까 이상해,익숙해져야죠.,2
벌써 가족 같아,가족이 될 사람이라서 그럴지도 모르겠어요.,2
변하지 않는 사람도 있겠지?,드물지만 있을거예요.,2
